character,line
Troy,"I don't know why, but I'm kind of over zombies."
Abed,"Yeah, I don't feel like anything action-heavy. How about something light?"
Troy,You seen Marmaduke?
Abed,"No. Cool, cool, cool."
Narrator,"And so Troy and Abed went back to the dormitory for a viewing of Marmaduke. I'm George Takei. And if your name is Kevin, here's a little freebie for your cell phone. Hi, Kevin can't come to the phone. He's on a spaceship with me, George Takei. Please leave a message. You're welcome, Kevins. Happy Halloween."
Troy,"Voice mail? WOMAN: October 31 st, 11:20 p.m. CHANG: Troy, this is Chang. There's not much time. I don't think we're gonna make it. Listen, if you survive, please spread this message for me: Shirley and I totally did it."
Shirley,"Chang, what are you doing?"
Chang,Nothing.
Chang,Gotta go.
Troy,Why did he call me? Submitted and corrected by: Geneva
