character,line
Pelton,"Court is in session. Blind Justice presiding...aah! Oh, my God! Ahh! Oh, one more recess. I hit the corner right on a fresh tattoo."
Dennis,"Well boys and girls, I hope you brought your popsicles, because it's about to get scalding hot in the Sun Chamber. You already know the rules...because there aren't any!"
Russo,"Jeez, Dennis, are you on coke? Take that crap off and sit down. Sorry about that. Of course there are rules. Two men are sealed in the chamber, each with a broken unit. The heat will increase until one man yields...or dies."
Annie,You're just in time for Jeff's closing statements.
Britta,Who cares? Everything is terrible.
Annie,"Oh, no. Have you been watching Dance Moms again?"
Britta,I'm thinking of dyeing my hair.
Abed,"Evil Abed, what are you doing?"
Evil Abed,I'm going to cut off Jeff Winger's arm.
Abed,I won't let you. That's horrible.
Evil Abed,Don't you mean dark? Welcome to my world. Psst! Jeff! Winger!
Shirley,"Jeffrey, this is a, a terrible situation for me to have put you in. A guy like Alan isn't above making trouble for you at your old firm."
Jeff,"Shirley, I..."
Shirley,It's not worth your career. I want you to have what you want.
Jeff,"Thank you, Shirley."
Pelton,"Settle down. Okay, Jeffrey, let's have your closing statement."
Jeff,"Your honor...I have no closing statement, because I'm throwing the case."
Annie,Ah!
Jeff,"No, no, it's okay. It's fine, don't worry. My client, Shirley Bennett, my friend of three years, she told me that it was okay. She said what I want was more important. She's right, right? I mean, guys like me, we'll tell you there's no right or wrong. There's no real truth."
Murray,I'll kill you. I'll kill you just like I killed him.
Jeff,"And as long as we all believe that, guys like me can never lose."
Murray,Was that out loud?
Jeff,"Because the truth is...I'm lying when I say there is no truth. The truth is...the pathetically, stupidly, inconveniently obvious truth is...helping only ourselves is bad, and helping each other is good. Now I just wanted to get out of here, pass Biology, and be a lawyer again instead of helping Shirley. That was bad. And my former colleague wanted so badly to keep his rich client that he just asked me to roll over in exchange for my old job. So I guess we all walked in here pretty bad. But now, Shirley's gone good. Shirley's helping me."
Pierce,I withdraw my case. Why didn't you just do some inspirational speech about friendship? You're fired.
Alan,"Way to go, soft serve. You're finished. By the way, never got a chance to tell you this, but it was me who turned you in to the state bar."
Jeff,I know. And I never got a chance to thank you.
Alan,This place has made you so gay.
Pierce,"Hey! Don't use ""gay"" as a derogatory term. Booyah, good person."
Chaplain,"Gentlemen, take this man to the infinite labyrinth of eternal ice."
All,Yes!
Troy,"No! No, take him to the police. He murdered someone. Take him to jail. You guys are weird."
Annie,"Jeff, that was great."
Shirley,You were like a white Blair Underwood.
Pierce,"Shirley, if you're willing, I think we should let Jeff sign the sandwich shop form."
Shirley,"Yeah, you could represent both of us. You know, like our attorney."
Annie,"My God, Pierce! You had your first good idea."
Pierce,Thank you.
Abed,"Britta, I'm so sorry."
Britta,"It doesn't matter, Abed. I should've never played therapist with you. I'll change my major just one more time."
Abed,"But you can't. You cured me. I mean, I'm not cured. I'm willing to admit I definitely need therapy. You're the only kind of shrink I could ever trust. The kind with as little control over my mind as me."
Troy,Mind if I cut in?
Britta,Troy!
Abed,You're back.
Troy,"Yeah, I made a new rule that the air conditioning repair school has to act like a regular school. I can do that because I'm their messiah."
Abed,Cool. I went crazy and I wanted to cut off Jeff's arm.
Troy,"I missed you so much, buddy."
Britta,Ahem.
Pierce,"So, Jeff, we still best friends?"
Jeff,All right. Cellular mitosis. What is it?
Leonard,"Hello, everybody. I'm Leonard. And I'm here today to review"
