character,line
Jeff,"Uh, you guys, wait. I wanna say something."
Annie,"You don't have to save us with a speech. We're not breaking up. So, we don't need to get back together."
Jeff,"I know I don't have to, but I want to. Look, we've known each other for almost two years now. And, yeah, in that time, I've given"
Troy,Like the Traveling Wilburys.
Jeff,"Yes, Troy. Like the Traveling Wilburys of pain, prepared for any insane adventure life throws our way. I don't know about you, but I'm looking forward to every one of them."
Shirley,"Oh, Jeffrey."
Pierce,"Oh, Jeff. Jeffrey, Jeffrey."
Troy,"Well, I guess we can get through anything. So it's probably okay if you and Britta want to keep, you know, hooking up."
Shirley,I don't mind it so much.
Abed,I'm cool with it.
Shirley,God cares.
Abed,Have fun tonight.
Britta,"So, guess we don't have to keep sneaking around anymore."
Jeff,"Yeah, I guess not. You wanna stop doing this?"
Britta,You wanna stop doing this?
Jeff,Yeah.
Britta,Yeah.
Jeff,"It's not you, it's me."
Britta,It's you.
Chang,"Hey, guys. Hey, guys. Hey, you guys remember the time when...? Those guys don't care who they hurt, do they? You know, I still don't even know if I'm in the group. Hey, you and I have had some pretty good times, huh? Ow! Ow! Aah! Ow! Ow! Ow! Ow! Aah! What a year. Ow! Ow! Aah! Aah! Ow! Ow!"
Pelton,"Hey, everybody. Can I help you with anything? I care about you guys."
(as Jeff),"Shut up, Dean. You dress in stupid outfits."
Pelton,"Well, you have a right to your opinion, so I'll just leave."
(as Abed),"You could have been nicer to the Dean, Jeff."
(as Jeff),So what? I don't care.
(as Troy),"I just think there maybe could be repercussions, yo."
(as Jeff),I don't care what you think. I don't care about repercussions. I don't care about the Dean.
(as Troy & Abed),Okay.
Announcer,"Meanwhile, at that same moment, a truck full of toxic waste crashes and spills on the Dean, transforming him into Mega-Dean!"
(as Jeff),I don't care about anything. Wait. I care now! Now I care!
Pelton,Too late.
(as Jeff),I owe you guys an apology. The Dean runs our school. He's entitled to a modicum of respect.
(as Britta),You're always so mean to him. Why?
(as Jeff),"It's embarrassing to admit, but sometimes I felt jealous of his interesting outfits."
(as Annie),"Jeffrey, if I didn't know better, I'd say you had a crush on him."
(as Jeff),I'll never tell!
