character,line
Troy,"Hey, we worked hard on that. And it's a blanket fort."
Annie,"It's an asylum for half-witted children! As the only adult in this apartment, I am making an ultimatum. Me or this...stupid Dreamatorium."
Abed,Dreamatorium is non-negotiable. Read the lease.
Troy,Especially the part we added in crayon.
Abed,You don't wanna take this to court.
Troy,"Trust us, this place can be a courtroom in the blink of an eye."
Annie,This doesn't work for me. From the minute I joined the study group I've been worried about how uptight I am and how I'm no fun. And then I was worried that I wouldn't fit in here or be able to hang with you guys. But you know what? Why don't you ever ask yourselves whether you can hang with me? Why am I always the one that has to adapt? I'm sick of this crap! Enjoy your stupid Dreamatorium.
Troy,We will! Because this is our apartment too! And just because we're awesome doesn't mean we're not adults!
Abed,Candy cigarette?
Troy,I don't want a candy cigarette. I want our Annie.
Abed,"Yeah, we blew it."
Troy,I picked the wrong week to quit.
Annie,What the hell is this?
Landlord,"In security deposit terms, it's a gold mine. And you're lucky it's only gonna cost you money. Your friend nearly killed himself."
Annie,"Yeah, that's me. Lucky Annie."
Pierce,"I'm really sorry, Annie. I had some island girls over and one of them must have slipped me a Mickey."
Annie,I'm just glad you're okay. You can pay me back by helping me get all my stuff from Troy and Abed's.
Pierce,You're moving again? How long was I out? Is Napster still a thing?
Annie,"You've been out long enough for me to realize that I'm gonna need to keep living alone. Come on. Let's get you cleaned up. Oh, what the hell?"
Pierce,I have brain damage. Nothing I do counts.
Annie,"Where is all my stuff? Troy, Abed?"
Abed,It's all yours.
Troy,"We're sorry. Sometimes we get stuck in our own little world. And then in that world, we make even littler worlds. And sometimes there are tunnels between those worlds. Or a subway. One time a snake, we're sorry. Do you like it?"
Annie,"Of course, I do. It's perfect. I mean, I can rearrange the throw pillows. You have them arranged by size instead of color, but..."
Abed,What did I say?
Annie,But what about the Dreamatorium?
Abed,"Oh, it's staying. The Dreamatorium is more important than any of us. But you're more important than our bedroom, so we put the bunk bed in the blanket fort."
Pierce,This is all gay code.
Annie,You sure I'm worth it?
Troy,"Yeah, there's a couple of things that we were hoping that you'd help us with."
Abed,"Yes, like where does the water go in the iron?"
Troy,And what's the iron for?
Abed,And what gets out Kool-Aid stains?
Troy,"Yeah, we already know that the opposite color Kool-Aid doesn't work."
