character,line
Abed,"I need to talk to you about Abed. I went by his film class today, he wasn't there, he's cutting. I wanna know why he would do something like that."
Jeff,Ask him.
Britta,"Every time I try to ask him about it, he just keeps filming me and telling me that I'm playing the role of his mother."
Jeff,Abed is not normal! That's what you bought when you intentionally tangled yourself in his life!
Britta,"Look, will you just Will you please talk to him?"
Jeff,I've got problems of my own! I'm out here trying to seize a day!
Jeff,What in the hell? Is he gonna kill us?
Featuring,"The Study Group,"
Setting,Group Study Room F
Troy,"Thanks for the pizza, Abed, I was starving."
Shirley,"Yeah, it's nice, like a picnic."
Pierce,Or a family dinner.
Jeff,"It's a study group and a pizza, let's not get carried away."
Britta,"So, Abed. How's film class?"
Abed,Good.
Jeff,Yeah? Did you go to class today?
Abed,Not really.
Jeff,"Not really? Well, Britta's paying for those classes, don't you think maybe you should go?"
Abed,I was shooting my movie.
Britta,Your movie is for class.
Abed,My movie's more important.
Britta,Well la-de-da.
Stoner friend,Someone order seven lattes?
Abed,I got that.
Britta,"No, You don't got it. I got it, Abed. I got everything. What is wrong with you, all I want to do is take care of you. I know you're not stupid, are you doing this on purpose? Why won't you answer me?"
Abed,This is the scene where you leave.
Britta,You better believe it.
Jeff,Britta.
Abed,"What do you think, Dad?"
Jeff,"I think you are really weird, Abed. And I think the wrong person just left."
Abed,Perfect. That's a wrap.
Stoner friend,That guy was your dad?
Summary,Jeff tries to appease Professor Whitman and help Britta out with Abed.
Featuring,"Gobi, Britta, Jeff and Abed."
Setting,Group Study Room F
Jeff,Hey.
Britta,"Hey. You don't really have tickets for Ravi Shankar, do you?"
Jeff,I lied to get you here because it's time to communicate.
Britta,Communicate? Have you met Abed?
Jeff,It's not the two of you that need to talk.
Gobi,"Hey, wait a minute, where's Weezer?"
Jeff,They're coming.
Gobi,All right.
Jeff,"Now, the only reason why this whole mess got started is because both of you wanted the best for Abed. And I think the lesson we can all take away from this is that everyone should always do whatever they want, and leave each other out of it."
Gobi,"Is that your take? Let me give you mine. You and your pillow-lipped girlfriend got all up in my stuff because you wanted to be cowboys, and then you turned chicken when you found out it would take more than speeches and guided missiles."
Jeff,"Interesting, I hadn't seen the Iraq metaphor."
Gobi,What Iraq metaphor? I'm talking about your speeches and her guided...
Jeff,"Got it. The point is, is that Britta is sorry, right?"
Britta,Wrong.
Jeff,Crap.
Britta,Abed may not be a great filmmaker but that doesn't mean that he wants to make falafel. You need to let him make his own decisions.
Gobi,Make his own decisions? Have you met Abed? You know who he is? You have no idea...
Jeff,Guys...Guys!
Britta,You're stupid.
Abed,I'm finished!
Abed,"Britta, Jeff, Dad."
Britta,"How's it going, buddy?"
Jeff,I don't want to be your father.
Jeff,"I think you are weird, Abed."
Britta,"Hey, look. I need to talk to you about Abed."
Jeff,He's not normal.
Britta,"What is wrong with you?! All I want to do is take care of you,"
Britta,Why will you not answer me?!
Abed,"What do you think, dad?"
Jeff,"I think you are weird, Abed. And I think the wrong person just left."
Jeff,It's not exactly Citizen Kane.
Gobi,(Subtitled) I never said I blamed you for her leaving.
Abed,(Subtitled) You never had to say it.
Britta,I feel a little out of the loop here.
Jeff,That feeling is called the joy of freedom.
Gobi,"My son is hard to understand. If making movies help him be understood, then I pay for the class...with falafel as a fallback."
Britta,Abed.
Abed,Yeah?
Britta,Did you do all of that to me on purpose? That's not a very nice way to treat your friends.
Abed,"Well, Britta, it isn't called friend business, it's called show business."
Britta,He's smoking.
Jeff,"Honey, let him leave the nest."
Britta,Get your hand off of my knee.
Featuring,"Pierce, Troy and Shirley."
Setting,Campus quad.
Shirley,God - God bless you. God bless you.
Troy,Thank you.
Featuring,"Jeff, Britta and Professor Whitman."
Setting,Outside the library.
Britta,"For someone who doesn't like getting involved, well, I owe you."
Jeff,You owe me? That can not be comfortable for you.
Britta,"Hey, um, you should kiss me right now."
Professor Whitman,Day seized!
Britta,We're even.
Professor Whitman,"Ha-ha-ha! A plus, Winger! I know a life-changing kiss when I see one. Woowee!"
Jeff,Yeah...fooled you.
Featuring,"Troy, Abed and Jeff."
Setting,Group Study Room F.
Abed,Am I krumping?
Troy,No.
Abed,Am I krumping? Am I krumping?
Troy,No. No.
Abed,Am I krumping now?
Troy,No. This is krumping.
Troy,We - We're krumping.
Jeff,"No, you're not."
