character,line
Jeff,"Hurricanes are bad, Troy."
Troy,I know.
Abed,"I always thought it's possible that the wormhole Chrichton fell through moved him across not only space, but also time, which would suggest that the Sebaceans are our future selves, and Chrichton is longing for a planet that no longer exists."
Robert,"Huh. Hey, you're really nursing that beer."
Abed,"Which would make sense, because what kind of wormhole would it be if it could only move you from one place to another within the same galaxy on the same day?"
Robert,"You know, speaking of wormholes, what do you say we use one to teleport this conversation some place a little more private?"
Abed,That doesn't make any sense. Wormholes and teleportation are two different things. That's what I've been talking about this entire time.
Robert,I noticed.
Abed,Cheers.
Annie,"I followed that band Phish, spelled with a P-H, and I just lived in parking lots wherever they played. I don't even like their music, just did it to see if I could do it. Guess what? I could."
Bartender,"So, what's now?"
Annie,"I don't know. Even if I planned it, plans fall off me like chicken crap off an armadillo. Annie's the one that loves plans. Not me. Annie's my friend. She goes to school here. Thinks she's got it all figured out. She wants to major in healthcare management. What does that even mean?"
Bartender,No idea.
Annie,"I'll tell you what it means. It means a master's degree. Followed by an internship. She's got the next fifteen years of her life all mapped out, all she's gotta do now is follow it or screw it up."
Bartender,Another soda?
Annie,"Actually, I'll have a screwdriver. I got no place to be. What am I, Annie?"
Abed,"The first season when you watch it the second time, it's better than the third season. And the fourth season when you watch it the fifth time..."
Robert,OK. What's you name?
Abed,Abed.
Robert,Abed. Robert.
Abed,"Hey, Robert."
Robert,"Abed. Would you like to have gay sex, with me?"
Abed,"No, thank you."
Robert,"Wow! OK, so what is wrong with you that you can sit here this whole time and never pick up on the fact that a man is hitting on you?"
Abed,"Oh, I actually did pick up on it after a while."
Robert,You actually...and?
Abed,"I really, really like talking about Farscape. It's a really good show."
Robert,Stargate is better.
Wheelchair voice,Battery depleted.
Pierce,"Oh, man!"
Britta,Hey there! What you been up to?
Shirley,"I was just a, praying for the poor souls in these photographs."
Britta,"Oh, that nice, but you missed one! We found it in the ladies room."
Shirley,Give that to me.
Britta,"Don't feel bad, this makes us like you way more!"
Shirley,You think this is really funny?
Jeff,Yeah.
Britta,"Yeah, a little."
Shirley,"I had some bad years, with a chaser."
Troy,"Come on, it's a funny picture because you act so perfect all the time. And, because you look like a zombie but it's not funny when you're sad. We're on your team! Relax, sit down. It's my birthday!"
Shirley,Give it to me. Give it to me. I'll see you all on Monday.
Jeff,Shirley! Wait!
Pierce,What?
Shirley,Nothing. Get out of my way!
Pierce,I can't get out of your way. I'm stuck and the chair broke...and I can't get...would you please help me? Pretty please? Thank you. Shirley.
Shirley,"You're welcome, jackass."
Troy,"Hey, it's my birthday, and technically I'm not allowed to drink it for another 45 seconds, oh actually it'll be 30 seconds by the time I'm done saying this but can I have a 7 and 7?"
Bartender,"It's on the house. Happy birthday, kid!"
Britta,"Big boy, big boy. You're my big, big boy."
Jeff,"Troy, I think I owe you a birthday."
Troy,I'm cool. I always wanted to drive this thing.
