No.,No. in,Title,Directed by,Written by,Original release date,Prod.,U.S. viewers,IMDB Rating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,20,"""Competitive Wine Tasting""",Joe Russo,Emily Cutler,"April 14, 2011",219,3.49[71],7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,21,"""Paradigms of Human Memory""",Tristram Shapeero,Chris McKenna,"April 21, 2011",220,3.17[72],9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,22,"""Applied Anthropology and Culinary Arts""",Jay Chandrasekhar,Karey Dornetto,"April 28, 2011",221,3.35[73],7.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,23,"""A Fistful of Paintballs""",Joe Russo,Andrew Guest,"May 5, 2011",223,3.49[74],9.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,24,"""For a Few Paintballs More""",Joe Russo,Hilary Winston,"May 12, 2011",224,3.32[75],9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Season 3 (2011–12),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Main article: Community season 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The third season of Community premiered on September 22, 2011, and ended on May 17, 2012. It consists of 22 episodes. On November 14, 2011, NBC announced that they were placing Community on hiatus in favor of 30 Rock.[76] Immediately following this there was a fan-campaign demanding that Community be returned to the schedule.[77] The campaign utilized the phrase ""six seasons and a movie"", which first appeared in the episode ""Paradigms of Human Memory"". The phrase went on to be used in the future by both fans and the creative team when the show was faced with cancellation.[78] On February 21, 2012, the return date of the show was stated to be March 15.[79]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Season three episodes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No.,No. in,Title,Directed by,Written by,Original release date,Prod.,U.S. viewers,IMDB Rating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
overall,season,,,,,code [25],(millions),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,1,"""Biology 101""",Anthony Russo,Garrett Donovan & Neil Goldman,"September 22, 2011",301,3.93[80],7.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,2,"""Geography of Global Conflict""",Joe Russo,Andy Bobrow,"September 29, 2011",302,3.98[81],7.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,3,"""Competitive Ecology""",Anthony Russo,Maggie Bandur,"October 6, 2011[a]",304,3.35[83],7.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,4,"""Remedial Chaos Theory""",Jeff Melman,Chris McKenna,"October 13, 2011",303,3.78[84],9.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,5,"""Horror Fiction in Seven Spooky Steps""",Tristram Shapeero,Dan Harmon,"October 27, 2011",305,3.42[85],8.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,6,"""Advanced Gay""",Joe Russo,Matt Murray,"November 3, 2011",306,3.84[86],7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,7,"""Studies in Modern Movement""",Tristram Shapeero,Adam Countee,"November 10, 2011",307,3.49[87],8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,8,"""Documentary Filmmaking: Redux""",Joe Russo,Megan Ganz,"November 17, 2011",308,3.62[88],9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,9,"""Foosball and Nocturnal Vigilantism""",Anthony Russo,Chris Kula,"December 1, 2011",309,3.74[89],8.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,10,"""Regional Holiday Music""",Tristram Shapeero,Steve Basilone & Annie Mebane,"December 8, 2011",311,3.60[90],8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,11,"""Urban Matrimony and the Sandwich Arts""",Kyle Newacheck,Vera Santamaria,"March 15, 2012[a]",312,4.75[91],7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,12,"""Contemporary Impressionists""",Kyle Newacheck,Alex Cooley,"March 22, 2012",310,3.87[92],7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,13,"""Digital Exploration of Interior Design""",Dan Eckman,Chris McKenna,"March 29, 2012",313,3.48[93],8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,14,"""Pillows and Blankets""",Tristram Shapeero,Andy Bobrow,"April 5, 2012",314,3.00[94],9.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,15,"""Origins of Vampire Mythology""",Steven Tsuchida,Dan Harmon,"April 12, 2012",315,3.09[95],8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,16,"""Virtual Systems Analysis""",Tristram Shapeero,Matt Murray,"April 19, 2012",316,2.77[96],8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,17,"""Basic Lupine Urology""",Rob Schrab,Megan Ganz,"April 26, 2012",317,3.21[97],9.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,18,"""Course Listing Unavailable""",Tristram Shapeero,Tim Saccardo,"May 3, 2012",318,3.20[98],8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
