character,line
Neil,Is it my turn?
Abed,"Yes, but you can't move."
Neil,"That's fine. For my turn, I feel sorry for Pierce Hawthorne."
Pierce,Save it.
Neil,"No, I really do, man."
Pierce,"Good. For my turn, I rape the Duquesne family, again."
Britta,"For my turn, I pity Pierce too."
Pierce,"Trust me, kitten, I'm having the time of my life. I won. I won Dungeons & Dragons, and it was advanced."
Jeff,I pity Pierce.
Pierce,Knock it off.
Annie,You outdid yourself this week. There's a lot of pain in you. I seriously feel bad.
Pierce,Feel sorry for your new fat BFF.
Shirley,"No, we're done doing that. He's gonna be fine, aren't you, Neil? You, Pierce? I really worry about, at least for my turn, anyway."
Pierce,"How about this? Draconis, unfreeze time."
Abed,Done. You guys can move again.
Pierce,I breathe so much fire on you...
Abed,Hold it. You just used your move unfreezing time. Neil.
Neil,"I take the sword of Duquesne, and I throw it at the amulet around the sad, naked man's neck."
Abed,That's a difficult shot. You'll need an 18 or higher.
Shirley,Sweet baby Jesus.
Study Group,Yes!
Jeff,In your face!
Abed,"The sword smashes the amulet, freeing Draconis from its spell. The red dragon turns its head and grabs Pierce in its mighty jaws, and swallows him alive."
Pierce,"Ah, no!"
Annie and Shirley,"Yea, Neil!"
Abed,"As a reward, he flies your band to his cavern where he bestows his treasure upon you. Congratulations on the completion of"
Neil,"Hey, that was the best game I ever played in my life."
Pierce,Don't mention it.
Neil,Wanna play again next week?
Pierce,Maybe.
Neil,OK. I'll be around.
Narrator/Cleaning Lady,"And so it was that Pierce Hawthorne saved the life of Fat Neil, while learning very, very little. Good night."
Troy,"How could you possibly want giant ears over a tail? If you had a tail, people could always tell when you're happy."
Abed,"Yes, but with giant ears, you could hear things from miles away. And, you could wear backpacks as earrings which would free up your hands."
Troy,"Backpacks already free up your hands. Guys, what do you think? Oh, we thought our group was meeting now."
Asian woman,Tail is much better.
Troy,Thank you.
Abed,All in favor of giant ears? Told you.
