character,line
Pelton,"Oh, how could I have stayed mad at you, guys? Here, I was gonna save these for the real Christmas day, but these guys were getting antsy. Hi, there. Uh-oh. Uh-oh."
Study Group,Oh!
Pelton,August. And this one is James. And this one is Fiona. And these two guys are Jeffrey.
Chang,Timeline?
Jeff,"Abed, there are no dark timelines."
Evil Jeff,"Your honor, I may not have a right arm, but I am armed with what's right. My client Miss Edison did rob several drug stores. And, yes, she did stab several pharmacists, but let's talk about the bigger crime. That someone so beautiful has been removed from society."
Judge Anne Mebane,"Miss Edison, you are hereby released from Greendale Insane Asylum."
Evil Annie,Are you sure you don't have a problem with our age difference?
Evil Jeff,"Yeah, I wish you were even younger. Now, come on, the others are waiting. We've got a prime timeline to destroy."
Evil Jeff and Evil Annie,"Ha, ha, ha, ha!"
