character,line
Featuring,"Jeff, Britta, Annie, Shirley, Troy, Abed, Pierce and Ben Chang."
Setting,Spanish classroom
Shirley,"Have you seen it? We did it, girl. Page three."
Annie,"It's about Pierce, but listen to that paragraph. ""The incident occurred during a protest regarding events in Guatemala."
Shirley,This isn't the school paper. This is a real damn newspaper. There's a Marmaduke in here.
Britta,It's more than I ever accomplished.
Shirley,You know about ethnic cleansing in Burma? We need to bust out that brownie mix.
Jeff,Morning.
Britta,Morning.
Britta,"Oh, no, I get it. Garfield's wishing me a happy Arbor Day, and you'd like a fresh start."
Jeff,"Nice try. It's actually Secretaries Day. It says that I'm sorry about crashing your protest with that drunken, self-immolating baby boomer."
Shirley,We don't blame you. Pierce has been on my watch list.
Troy,That dude is crazy. He told me girls have two pee holes.
Annie,"I sang Christmas carols at a nursing home once. I've seen the face of dementia, and last night, I saw it again."
Britta,You know what he did that's really crazy? He offered me a 100 dollars to switch cards with him just so he could be partners with Jeff. I think he thought getting closer to Jeff would bring him respect in the group.
Chang,"Hola, class. All right, time for our presentations. First up was supposed to be Jeff and Pierce, but Pierce explained the situation to me. There was a falling out, things were said, people were betrayed."
Jeff,"That doesn't sound fair to me at all. I understand if you don't wanna be my friend. But this thing that we've created, it is bigger than the both of us, and it deserves to be done right."
Pierce,All right.
Chang,"Okay, um, guys, why are there costumes involved? These are short conversations. They're not supposed to..."
Jeff,"...take Your breath away? Well, tough. You ready, amigo?"
Chang,"F (pointing to Jeff), F-minus (pointing to Pierce)."
Pierce,What? Did you say S?
Featuring,"Jeff, Britta and Pierce."
Setting,"Spanish classroom, hallway"
Britta,So that was one of the worst things I have ever seen. Which I guess
Jeff,How do you know I didn't do it just to get another shot at you?
Britta,A smart guy like you would know that no woman in that class will be able to look at you as a sexually viable candidate ever again.
Jeff,"No, I know. I thought of that."
Jeff,She looked back.
Pierce,"You did an all right job up there, my friend."
Jeff,"Thanks, Pierce."
Pierce,A couple of notes. You got this thing you do with your face when you're trying to be funny . that forces people to think about how cool you think you are.
Featuring,Troy and Abed
Setting,Group Study Room F
Troy,"Donde,﻿ está, la biblioteca."
Abed,"Discoteca, muñeca, La biblioteca es en bigote grande, perro, manteca."
Troy,"Manteca, bigote, gigante, pequeño, cabeza es nieve, cerveza es bueno."
Abed,"Buenos dias, me gusta papas frías, bigote de la cabra Es Cameron Diaz. Yea boi. Boi. Yea."
Troy,What.
Abed,It’s 2009.
Troy,Word.
